userName,score,at,content
Keenar,4,2024-05-18 20:04:41,"Untuk tiktok,sangat bagus kalo kita lagi bosan trus kita bisa nonton/chat sama teman tapi maaf sekali, knp tiktok ada blokir kasian ada yg kena blokir tapi saya Minta maaf sekali lagi😊🙏 aku kasih bintang 4,tolong di hapus kan pemblokiran 🙏🙏"
Jerry,5,2024-05-18 19:23:55,"Tik tok memang Keren dan banyak tantangan yang harus kita lalui agar bisa dapat cuan tambahan, maju terus dengan fitur-fitur lebih baru dan menarik"
Kharisma Ghania Riski,1,2024-05-18 18:38:51,"Kadang aplikasinya nge bug gabisa di buka padahal udah di pencet berkali-kali. Pihak tiktok, mohon perbaiki bug nya karena nyebelin banget."
Dwi Purnomo,3,2024-05-18 17:36:01,"saya pasang ini hanya abisin bonus kuota tiktok saja, pas di buka ternyata pemakaian nya lumayan boros.. Masih enak dan nyaman stay on YouTube."
Depi Yana,1,2024-05-18 17:34:53,"Kenapa tiktok nya ga bisa di buka,harus di ketuk ketuk beberapa kali baru bisa,terus nanti nya langsung keluar dari tiktok sendiri Tolong di benar kan ya ni aplikasi nya"
Alvin Mujaddid,1,2024-05-18 17:07:24,"tolong buat developer ini kenapa aplikasi tiktok gw kok ndk bisa muter video, padahal kalo buka komen lancar. Buka apk lain juga lancar"" aja. Coba untuk ditindak lanjuti"
Novia Mulyasari,5,2024-05-18 16:57:16,Bagus cuma aga bug dikit kalo saya masuk tapi keluar lagi itu knp ya? Tolong di perbaiki ya bug nya
Krisna Odi Pratama,1,2024-05-18 16:36:19,"Tiktok mohon fix bug pada video tiktok, karna sekarang menjadi full layar. Video dan teks juga kepotong karna videonya memanjang keatas dibagian bar atas. Aku mohon difix makasii"
Fahri Azhar,1,2024-05-18 15:57:12,Untuk Pihak Developer Tolong Kurangin Cache TikTok Saya Sudah Beberapa Kali Uninstall Ulang Download Kenapa Data Nya Ke Download Otomatis Padahal Saya Sudah Hapus Cache Berulang Kali. Jadi Tolong Perbaiki Masalah Ini !!
Sevia Lesty,1,2024-05-18 15:55:20,"Ini tiktok ada masalah apa sih pas simpan vidoe ga ada tempat simpan nya, trus pas posting video kok video nya hitam ga jelas banget deh"
Allan Ivana,2,2024-05-18 15:31:11,Tolong diperbaiki lagi... Sering ngelag gk bisa dibuka. Harus di uninstal dulu baru bisa dibuka. Dipakai beberapa kali masuk nnti ngelag lagi gk bisa dibuka lagi. Harus uninstal lagi. Selain itu juga makan banyak memori
Isnaya Fauqoturohman,4,2024-05-18 14:49:02,"Balikin tiktok yg dulu, kalo save video yg belum diupload gaa pake watermark tiktoknya. Pliss filter tiktok tuh bgus, tpi klo fto mau disave ada watermark tiktoknya, gbisa dijadiin PP WA dunds😩, min tiktok balikin yg dulu min wkwk"
Isi Ref SeaBank VPDWDJ dpt 25rb,5,2024-05-18 14:16:46,"Aplikasi ini luar biasa bagus ya, dari segi kwalitas juga sangat ok banget ya kawan kawan sehingga sangat membantu dalam hal penyajian berbagai video pendek, menurut aku aplikasi ini sudah sangat bagus ya tinggal ditambah kan lagi beberapa menu pelengkap nya saja sehingga membuat para pengguna nya semakin semangat ya untuk menggunakan aplikasi ini, aplikasi ini juga memberikan tambahan penghasilan yang lumayan besar ketika digunakan menonton video dan sudah terbukti membayar ya kawan kawan."
Ajeng Ayusafitri,3,2024-05-18 13:42:53,Konten nya bagus dapat menghibut di waktu luang tapi saya kalo belanja udah di batasin di wilayah ter tentu misalnya serpong sama bumijawa gak bisa COD berarti gak bisa COD seluruh Indonesia lagi 😭 bisanya transfer padahal saya pernah 2x Saja knp gak bisa COD lagi? Gonta ganti akun ga tetap sama gak bisa emang wilayah nya gak bisa bayar cod
Sulaiman,1,2024-05-18 12:52:25,"Tiktok lama lama bikin virus,.. hp saya mau buka tiktok malahan Stuck di logo tiktok nyaa udah gitu bikin hp jadi ngelag banget padahal ram 8 memory 128 parah aplikasi tiktok sekarang banyak virus nya bikin hp jadi leg parah bintang 1 buat tiktok"
Salsaa,5,2024-05-18 12:04:36,"Saya menggunakan aplikasi ini untuk menambah penghasilan saya Alhamdulillah tiktok amanah dan saya benar""dibayar oleh tiktok buat yang nyari penghasilan tambahan saya rekomendasikan pakai aplikasi tiktok karna sudah terferivikasi aman dan betul""membayar mantul deh pokoknya"
Alifa NurHibatilah,4,2024-05-18 11:31:29,"Sudah bberpa hari buka tiktok GK bisa di buka nge leeg Mulu, sampe hp nya mati, udh di update tetep aja gitu ngeleg lagi ,,,knapa ya ???"
Siti Khofidah,3,2024-05-18 10:43:41,"udah di update malah kayak aneh ya pas udah mau keluar dari penelusuran biasanya langsung keluar ini malah ada video selewat, jadi kagok"
Ardhy,2,2024-05-18 10:24:35,"pada waktu upload konten hasil jernih&normal,tp kenapa makin kesini berjalanya waktu pas saya lg iseng cek konten saya kok kualitasnya jadi berkurang?udah gitu banyak noise dan pecah""pdhl waktu upload dan sudah ter upload smua normal&jernih"
andini. cr,2,2024-05-18 10:24:16,minn kok apk tiktokku ga bisa dibuka udah hapus chance sama restart tetap aja ga mau buka?mohon bantuannya min selain uninstall soalnya aku punya banyak draff ga mungkin aku hapus😭😔
Kamal Hasan,5,2024-05-18 10:07:32,Bagus si tapi sering ga bisa ke buka harus hapus dulu terus intal lagi baru bisa di buka baru bisa nanton aga ribet si kalo harus ky gitu tiap hari tiap siang ribet bgt
Bolu Manis,5,2024-05-18 09:50:56,"Aplikasi nya si udah bagus ya,tapi ketika kita mau buka apa apa itu selalu ada ngelag nya dan itu terjadinya sering banget,,lemot,,walau gitu tp tetep ini yg no 1-_-"
Yakob Husa,3,2024-05-18 09:47:07,"Aplikasinya bagus tapi sayangnya kadang tiap saya mauu buka tiktok gk bisa di buka, harus di hpus terus download lagi baru bisa. Jadi mohon bantuannya untuk tim tiktok"
Ricky Ari wibowo,2,2024-05-18 05:33:14,"Aplikasi sangat membantu,tapi masih ada kekurangan yaitu bug fixes masih ngelag, abis di update harus update lagi,dll"
Seire Serenity,1,2024-05-18 02:13:12,"APAAN DAH GUE SETELAH SEKIAN LAMA G MAIN TIKTOK, TIKTOK JADI JELEK gue udah ga masalahin kalo fitur fotoku ilang eh tapi tiap mau buka tiktok malah ga bisa sampe gue hps trs download ulang berkali-kali , malah yg ada fitur posting ulang hilang GLS BGT"
Reok Sptr,4,2024-05-18 01:45:13,"Apliskasinya sudah bagus,tapi tolong sediakan dark mode untuk user Android,memang ada beberapa yang bisa tapi kebanyakan ada yang ga bisa,tolong ya jangan cuman user iOs doang yang boleh🙏"
Citra sianturi,1,2024-05-18 00:13:45,"Lagi main tik tok keluar keluar melulu sih😡😡😡😡, tolong dong diperbarui, mending tik tok nya di hapus terus di ganti nama apk nya dan satu lagi bikin apk nya ga seperti ini lagi, kalau bisa tik tok di ganti baru dehhhhhhh"
fitri windianti,5,2024-05-17 23:32:33,"Ini kenapa saya perbarui kok malah jadi kayak tiktok versi lama ya, udh gk bisa dipercepat😔tampilannya juga kurang banget, pliss lah kembalikan tiktok ku yg seperti dlu kak😭😭"
Andi Priyanto,3,2024-05-17 23:10:00,"Kenapa ya udah berkali"" Update tapi gak pernah dapet versi terbaru,buktinya hp orang lain kalo buat vidio kan ada fitur buat nyimpannya tpi ko sya gak ada aneh bgt"
Yorim Bia,5,2024-05-17 22:55:47,"Sinyal nya lemot amat kayak di hutan belantara aja yg gk ada sinyal, padahal wifi saya penuh, saya coba buka aplikasi lain malah lancar gk ada masalah, giliran buka tiktok kok loading nya bisa sampai 5 menit baru bisa masuk ke beranda, sangat tidak memuaskan."
Miftah Wardah,2,2024-05-17 21:47:39,"Tiktok sekarang banyak aturannya padahal edit video itu juga orisinil tapi kena pelanggaran , sudah ajukan banding tapi lama prosesnya .. Kita yang baru mulai main tiktok karna punya tiktok cuma buat hiburan aja ,ini akun mau dijadikan tiktok affliete malah kena pelanggaran.. konsultasi juga ga ada jawaban"
Noan GSA,2,2024-05-17 21:39:22,"Tiktok semakin rusak,saya mau buka aplikasi tiktok kok gak masuk ke aplikasi ,mohon developer untuk memperbaiki ini."
